family,model,input,seeds,RMSE_b,MAE_b,RMSE_p,Pearson,Spearman,RMSE_b_sd,MAE_b_sd,RMSE_p_sd,Pearson_sd,Spearman_sd
Baseline,Mean,-,1,0.8220726962953879,0.6392422299025626,0.1736721224706587,0.0,0.0,,,,,
Baseline,Category mean,-,1,0.7699962497015742,0.5905284126400462,0.16324616573593165,0.34879469604518465,0.29730962595717053,,,,,
Baseline,TF-IDF + Ridge,-,1,0.7494719828510222,0.5766998735973897,0.15822662843960547,0.41095397048089954,0.38772715057267304,,,,,
Baseline,LightGBM (metadata),-,1,0.7649414902047628,0.5886518780411093,0.16076850495471723,0.38697432913455887,0.3546010033171674,,,,,
Baseline,TF-IDF + metadata Ridge,-,1,0.7326274296651716,0.5634062082736025,0.15689204197295245,0.46074518524342856,0.42491300808429416,,,,,
Embeddings + Ridge,LaBSE,text,1,0.7543671076483133,0.581379345232731,0.16004406100654114,0.3958556736139393,0.36958480477352307,,,,,
Embeddings + Ridge,LaBSE,text+meta,1,0.7339818892640951,0.5638517718493116,0.15634653500133902,0.4521578632196326,0.419163205845697,,,,,
Embeddings + Ridge,mE5-large,text,1,0.754032422827382,0.5789513952008993,0.1587970421819702,0.39903322379524037,0.3821574081803097,,,,,
Embeddings + Ridge,mE5-large,text+meta,1,0.7318728614029574,0.5568723022833888,0.15485275654583763,0.4528984371850813,0.4247490224167928,,,,,
Embeddings + Ridge,BGE-M3,text,1,0.7490256933271823,0.5762345786744448,0.1591011353900465,0.4102677599617464,0.3812043524018044,,,,,
Embeddings + Ridge,BGE-M3,text+meta,1,0.7288408617391303,0.5573598780814261,0.15460231411014635,0.46074517547484095,0.4383368234015926,,,,,
Fine-tuned,bert-base-multilingual-cased,cat_text,3,0.7362414064251288,0.5609787614209553,0.157545674129925,0.5153386905026717,0.48406690934448154,0.013552907773562264,0.010238260513897552,0.003086337641929552,0.005702751072076355,0.0033677474699172674
Fine-tuned,bert-base-multilingual-cased,text,3,0.73599989652277,0.5616029378708989,0.15672873681313876,0.46985809090254343,0.44669742113784244,0.007476207473211042,0.0037789525951530695,0.00040252429970602895,0.015377453490629323,0.013168099241710153
Fine-tuned,kaz-roberta-conversational,cat_text,3,0.7201666515072004,0.555184897658345,0.15501445924063142,0.49683680615374887,0.452896466356566,0.005033980973815202,0.0027152967609028666,0.0007041809310124436,0.020388438205129564,0.021815153704549114
Fine-tuned,kaz-roberta-conversational,text,3,0.7325579105277287,0.5679274363223689,0.15772994614506228,0.47649221284371174,0.43262403596368965,0.0004081683735353194,0.004122907992721663,0.0007354473009758433,0.008404879074164564,0.017113437879934346
Fine-tuned,xlm-roberta-base,cat_text,3,0.7143434213678975,0.5448728646619575,0.15237562455750378,0.5045557619221795,0.4787363526907374,0.0034471529112885414,0.003160975447348588,0.0012259178484160273,0.0058002318416434445,0.008404446119140114
Fine-tuned,xlm-roberta-base,text,3,0.7301868656183205,0.5587325699817066,0.15588176270564516,0.479469046367317,0.4474528871013968,0.003564802460733817,0.002274487811838223,0.001261466070133063,0.016058403284286236,0.015356801847795993
Fine-tuned,xlm-roberta-large,cat_text,3,0.716455831444939,0.5431229977425212,0.15217085596578928,0.5103041193741548,0.49370346295375933,0.015926146081380786,0.011573662327471706,0.00315696101341919,0.013170064700642916,0.0033553034571600668
Fine-tuned,xlm-roberta-large,text,3,0.7214778651959729,0.55119177107266,0.15393784782375922,0.4894614867538867,0.46708076802627896,0.017146455083632613,0.014223884277964813,0.0032371262354887894,0.03534687348576268,0.02174316959140392
